Возраст,Пол,Уровень образования,Профессия,Опыт работы,Зарплата,Регион
37.0,мужской,,Инженер-программист,5,49296.0,Казань
20.0,мужской,среднее общее,Девопс инженер,33,76416.0,Санкт-Петербург
19.0,мужской,среднее общее,,14,57287.0,Москва
36.0,мужской,магистр,Дизайнер интерфейсов,37,35824.0,Казань
42.0,мужской,магистр,Диджитал-маркетолог,22,57801.0,Казань
45.0,мужской,,Учитель,17,70832.0,
23.0,мужской,магистр,Актер,4,43136.0,Москва
29.0,мужской,среднее общее,Врач,21,86439.0,Санкт-Петербург
28.0,женский,бакалавр,Инженер,15,73369.0,Москва
47.0,женский,среднее профессиональное,Бухгалтер,17,66482.0,Санкт-Петербург
23.0,женский,магистр,Бизнес-аналитик,16,76169.0,Екатеринбург
27.0,женский,магистр,Девопс инженер,39,73582.0,Санкт-Петербург
52.0,мужской,бакалавр,Системный администратор,12,65614.0,Санкт-Петербург
53.0,женский,среднее профессиональное,Актер,38,64282.0,Челябинск
46.0,мужской,среднее профессиональное,Инженер,7,72367.0,Москва
29.0,женский,среднее общее,Бухгалтер,14,37749.0,Санкт-Петербург
31.0,женский,бакалавр,Строитель,38,31000.0,Москва
24.0,мужской,среднее профессиональное,Строитель,32,31000.0,Новосибирск
61.0,женский,магистр,Учитель,16,77365.0,Москва
34.0,мужской,магистр,Бухгалтер,11,98051.0,Новосибирск
33.0,женский,магистр,Бухгалтер,28,72420.0,Омск
30.0,женский,среднее профессиональное,Девопс инженер,20,88420.0,Челябинск
34.0,женский,среднее общее,Врач,17,21305.0,Москва
47.0,женский,среднее общее,Аналитик больших данных,10,96022.0,Казань
41.0,мужской,бакалавр,Бизнес-аналитик,19,49781.0,Санкт-Петербург
49.0,мужской,доктор наук,Учитель,36,30594.0,Новосибирск
43.0,женский,,Бизнес-аналитик,14,41596.0,Челябинск
43.0,женский,среднее общее,,34,81532.0,Москва
44.0,мужской,среднее общее,Врач,26,76989.0,Екатеринбург
19.0,мужской,бакалавр,Инженер-программист,20,46478.0,Москва
52.0,мужской,магистр,UX-дизайнер,5,60914.0,Омск
37.0,женский,бакалавр,Девопс инженер,13,59193.0,Новосибирск
52.0,мужской,,Программист,2,59009.0,Екатеринбург
24.0,мужской,доктор наук,Бизнес-аналитик,12,114892.0,Омск
39.0,мужской,,Девопс инженер,24,91019.0,Челябинск
35.0,женский,среднее общее,Строитель,30,47442.0,Новосибирск
32.0,мужской,среднее профессиональное,Бизнес-аналитик,27,75949.0,Санкт-Петербург
45.0,женский,среднее общее,Маркетолог,25,31000.0,Москва
21.0,мужской,магистр,Бизнес-аналитик,12,76763.0,Екатеринбург
40.0,мужской,бакалавр,Продуктовый менеджер,20,31451.0,Нижний Новгород
34.0,мужской,среднее профессиональное,UX-дизайнер,11,81917.0,Санкт-Петербург
51.0,мужской,магистр,Инженер,1,44302.0,Нижний Новгород
43.0,мужской,среднее общее,Финансовый аналитик,29,40027.0,Челябинск
36.0,мужской,бакалавр,Бизнес-аналитик,11,70574.0,Москва
41.0,мужской,бакалавр,Водитель,2,77630.0,Москва
38.0,мужской,магистр,Девопс инженер,16,43884.0,Санкт-Петербург
23.0,мужской,среднее профессиональное,Финансовый аналитик,30,88297.0,Екатеринбург
34.0,женский,бакалавр,Актер,3,89928.0,Санкт-Петербург
33.0,женский,среднее общее,Бухгалтер,24,95303.0,Нижний Новгород
30.0,женский,среднее общее,Врач,3,75630.0,Санкт-Петербург
30.0,женский,,Дизайнер интерфейсов,25,71355.0,Казань
42.0,мужской,среднее общее,Учитель,34,97819.0,Нижний Новгород
21.0,женский,бакалавр,Дизайнер интерфейсов,4,101185.0,Москва
27.0,мужской,среднее общее,UX-дизайнер,20,59089.0,Челябинск
46.0,женский,среднее профессиональное,Финансовый аналитик,23,74565.0,Казань
33.0,женский,доктор наук,,13,67475.0,Омск
20.0,мужской,доктор наук,Инженер-программист,7,62640.0,Санкт-Петербург
53.0,женский,среднее общее,,20,24715.0,
33.0,женский,бакалавр,Учитель,13,41021.0,Москва
25.0,мужской,среднее общее,Диджитал-маркетолог,3,56538.0,Омск
37.0,женский,магистр,Системный администратор,30,74144.0,Нижний Новгород
31.0,мужской,среднее общее,Бухгалтер,22,82218.0,Санкт-Петербург
43.0,мужской,бакалавр,Продуктовый менеджер,37,79484.0,Москва
42.0,женский,среднее профессиональное,Врач,3,57352.0,Екатеринбург
38.0,мужской,,Бухгалтер,27,47057.0,Москва
22.0,женский,бакалавр,Финансовый аналитик,29,82789.0,Москва
46.0,женский,доктор наук,Диджитал-маркетолог,8,61682.0,Екатеринбург
40.0,женский,среднее общее,UX-дизайнер,2,39857.0,Челябинск
31.0,мужской,бакалавр,Диджитал-маркетолог,9,87819.0,Челябинск
46.0,женский,среднее общее,Актер,12,49898.0,Екатеринбург
31.0,женский,среднее профессиональное,Бизнес-аналитик,13,42464.0,Екатеринбург
47.0,мужской,бакалавр,Инженер-программист,1,43281.0,Екатеринбург
42.0,мужской,среднее общее,Программист,7,46889.0,Новосибирск
31.0,женский,бакалавр,Строитель,21,14288.0,Челябинск
28.0,мужской,бакалавр,Аналитик больших данных,17,73253.0,Санкт-Петербург
39.0,женский,бакалавр,Актер,9,48162.0,Екатеринбург
55.0,мужской,бакалавр,Врач,25,64628.0,Казань
46.0,мужской,,Продуктовый менеджер,6,36119.0,Челябинск
53.0,мужской,магистр,Бизнес-аналитик,36,64147.0,Санкт-Петербург
40.0,женский,,Актер,27,80297.0,Санкт-Петербург
42.0,мужской,бакалавр,Актер,5,39246.0,Нижний Новгород
39.0,мужской,бакалавр,Диджитал-маркетолог,13,44737.0,Москва
30.0,мужской,бакалавр,Системный администратор,36,85342.0,Санкт-Петербург
50.0,женский,магистр,Строитель,37,74733.0,Нижний Новгород
34.0,женский,,Врач,7,80150.0,Новосибирск
44.0,мужской,среднее общее,Продуктовый менеджер,23,63817.0,Санкт-Петербург
54.0,женский,бакалавр,Девопс инженер,32,52117.0,
29.0,женский,бакалавр,Системный администратор,16,48693.0,Челябинск
25.0,мужской,доктор наук,Актер,16,67408.0,Москва
34.0,женский,,Системный администратор,29,24844.0,Санкт-Петербург
35.0,мужской,бакалавр,Инженер,2,48636.0,Санкт-Петербург
61.0,мужской,доктор наук,Строитель,1,50204.0,Москва
37.0,женский,среднее общее,Бухгалтер,21,47259.0,Нижний Новгород
31.0,мужской,бакалавр,Продуктовый менеджер,31,23203.0,Москва
54.0,женский,бакалавр,Врач,28,38401.0,Москва
25.0,мужской,бакалавр,Бизнес-аналитик,25,62118.0,Санкт-Петербург
48.0,женский,доктор наук,Дизайнер интерфейсов,15,27065.0,Екатеринбург
30.0,мужской,бакалавр,UX-дизайнер,8,54531.0,Нижний Новгород
23.0,мужской,магистр,Дизайнер интерфейсов,13,101754.0,Омск
34.0,мужской,,Дизайнер интерфейсов,2,85848.0,Екатеринбург
45.0,мужской,,Системный администратор,35,13243.0,Нижний Новгород
32.0,женский,среднее общее,Инженер-программист,35,53517.0,Нижний Новгород
62.0,мужской,среднее профессиональное,Учитель,37,29806.0,Москва
36.0,женский,бакалавр,Актер,8,50977.0,Санкт-Петербург
33.0,мужской,бакалавр,Актер,12,45803.0,Челябинск
41.0,женский,среднее профессиональное,Диджитал-маркетолог,32,82534.0,Санкт-Петербург
21.0,женский,,Учитель,23,87726.0,Москва
47.0,мужской,доктор наук,Диджитал-маркетолог,39,18657.0,Москва
32.0,женский,бакалавр,Бухгалтер,4,20240.0,Санкт-Петербург
59.0,женский,бакалавр,Актер,39,67994.0,Екатеринбург
31.0,женский,,Диджитал-маркетолог,3,102757.0,Нижний Новгород
43.0,женский,среднее общее,Инженер,11,40911.0,Москва
41.0,мужской,бакалавр,Водитель,39,106424.0,Челябинск
19.0,женский,бакалавр,Финансовый аналитик,37,68406.0,Нижний Новгород
51.0,мужской,магистр,Строитель,8,52271.0,
19.0,женский,среднее общее,UX-дизайнер,10,38754.0,Нижний Новгород
37.0,женский,бакалавр,Инженер,9,48609.0,Челябинск
27.0,женский,среднее профессиональное,Врач,12,62652.0,Омск
23.0,мужской,,Продуктовый менеджер,31,66478.0,Казань
25.0,женский,бакалавр,Девопс инженер,7,46545.0,Омск
43.0,мужской,бакалавр,UX-дизайнер,5,68179.0,Нижний Новгород
43.0,мужской,магистр,Инженер,12,42829.0,Омск
42.0,женский,доктор наук,Дизайнер интерфейсов,15,74482.0,Санкт-Петербург
67.0,мужской,бакалавр,Инженер,3,79243.0,Москва
20.0,мужской,бакалавр,Бухгалтер,37,49453.0,Санкт-Петербург
20.0,мужской,магистр,Финансовый аналитик,2,53464.0,Казань
25.0,мужской,среднее общее,Продуктовый менеджер,2,64532.0,Москва
23.0,женский,,Инженер-программист,14,61388.0,Нижний Новгород
20.0,мужской,среднее общее,,33,39493.0,Нижний Новгород
26.0,женский,магистр,Бухгалтер,20,82634.0,Москва
21.0,мужской,,Системный администратор,10,56014.0,Санкт-Петербург
47.0,мужской,,Финансовый аналитик,10,40352.0,Санкт-Петербург
49.0,мужской,магистр,Строитель,26,98166.0,Новосибирск
38.0,мужской,бакалавр,Учитель,16,18096.0,Москва
28.0,мужской,бакалавр,Строитель,24,58056.0,Москва
41.0,мужской,,Девопс инженер,34,83186.0,Санкт-Петербург
49.0,женский,бакалавр,Учитель,32,47855.0,Казань
23.0,женский,среднее профессиональное,Строитель,33,40740.0,Москва
23.0,женский,магистр,Учитель,16,54328.0,Санкт-Петербург
30.0,женский,магистр,Маркетолог,6,71943.0,Москва
55.0,женский,магистр,Системный администратор,17,69703.0,Новосибирск
19.0,мужской,,Бизнес-аналитик,32,76585.0,Москва
21.0,мужской,среднее общее,Маркетолог,12,97716.0,Москва
44.0,женский,,Дизайнер интерфейсов,13,53501.0,Екатеринбург
36.0,женский,магистр,Маркетолог,8,60034.0,
36.0,мужской,магистр,Дизайнер интерфейсов,18,64585.0,Казань
37.0,мужской,доктор наук,Инженер,17,83602.0,Москва
59.0,мужской,среднее общее,Диджитал-маркетолог,17,82096.0,Казань
36.0,мужской,доктор наук,Маркетолог,39,74393.0,Казань
47.0,женский,,Диджитал-маркетолог,22,46506.0,Москва
30.0,мужской,бакалавр,Финансовый аналитик,24,24058.0,Москва
43.0,мужской,бакалавр,Дизайнер интерфейсов,36,31911.0,Нижний Новгород
55.0,мужской,магистр,Актер,35,93492.0,Нижний Новгород
34.0,мужской,среднее общее,,27,40918.0,Казань
29.0,мужской,бакалавр,Строитель,3,31071.0,Омск
41.0,мужской,,Программист,38,37822.0,Москва
27.0,мужской,магистр,Девопс инженер,5,31294.0,Москва
31.0,женский,бакалавр,Актер,13,55679.0,Новосибирск
19.0,женский,среднее профессиональное,Строитель,33,50431.0,
68.0,женский,бакалавр,Системный администратор,26,107003.0,
23.0,женский,бакалавр,Продуктовый менеджер,9,58467.0,Санкт-Петербург
39.0,мужской,среднее профессиональное,Бизнес-аналитик,7,80144.0,Нижний Новгород
25.0,женский,среднее профессиональное,Строитель,13,21427.0,Нижний Новгород
21.0,женский,бакалавр,Системный администратор,20,63731.0,Санкт-Петербург
43.0,мужской,магистр,,36,45402.0,Казань
31.0,мужской,среднее общее,Девопс инженер,36,67422.0,Казань
23.0,женский,магистр,Диджитал-маркетолог,5,38099.0,Нижний Новгород
43.0,женский,магистр,Аналитик больших данных,3,26786.0,Казань
44.0,мужской,бакалавр,Инженер,37,18407.0,Челябинск
28.0,мужской,бакалавр,,39,114286.0,Казань
23.0,женский,среднее общее,Диджитал-маркетолог,18,52585.0,Омск
41.0,женский,магистр,Строитель,2,31000.0,Екатеринбург
38.0,мужской,бакалавр,Программист,14,90738.0,Казань
33.0,женский,среднее общее,Финансовый аналитик,23,48203.0,Москва
40.0,мужской,бакалавр,Маркетолог,6,66804.0,Екатеринбург
64.0,женский,доктор наук,Врач,39,31000.0,Нижний Новгород
33.0,мужской,доктор наук,Аналитик больших данных,33,35496.0,Челябинск
25.0,женский,магистр,Строитель,22,31000.0,Нижний Новгород
74.0,женский,бакалавр,Программист,12,74983.0,Москва
29.0,женский,среднее общее,Врач,32,53788.0,Санкт-Петербург
33.0,женский,доктор наук,Актер,28,112918.0,Нижний Новгород
39.0,мужской,бакалавр,Диджитал-маркетолог,36,21453.0,Санкт-Петербург
31.0,женский,доктор наук,Водитель,2,64894.0,Москва
22.0,мужской,среднее профессиональное,Строитель,29,66529.0,Москва
26.0,женский,доктор наук,Актер,37,26375.0,Казань
19.0,мужской,бакалавр,Дизайнер интерфейсов,39,61462.0,Москва
26.0,мужской,среднее общее,Инженер,11,71756.0,Нижний Новгород
52.0,мужской,бакалавр,Строитель,35,79459.0,Москва
52.0,мужской,среднее профессиональное,,33,36078.0,Санкт-Петербург
39.0,мужской,бакалавр,UX-дизайнер,39,44569.0,Москва
19.0,мужской,среднее профессиональное,Продуктовый менеджер,38,80990.0,Москва
31.0,женский,,Врач,38,31000.0,Новосибирск
33.0,женский,бакалавр,Дизайнер интерфейсов,33,81249.0,Москва
48.0,мужской,бакалавр,Учитель,24,98232.0,Санкт-Петербург
69.0,женский,доктор наук,UX-дизайнер,2,90149.0,Новосибирск
44.0,мужской,магистр,Диджитал-маркетолог,23,78277.0,Екатеринбург
33.0,мужской,бакалавр,Диджитал-маркетолог,30,115053.0,Москва
38.0,женский,бакалавр,Программист,16,45231.0,Нижний Новгород
45.0,мужской,среднее общее,Строитель,3,42321.0,Новосибирск
38.0,мужской,среднее профессиональное,Строитель,17,14704.0,Санкт-Петербург
34.0,мужской,магистр,Аналитик больших данных,4,12715.0,Казань
31.0,мужской,среднее общее,Врач,19,57734.0,
46.0,женский,бакалавр,Учитель,15,58621.0,Новосибирск
58.0,мужской,среднее общее,Актер,34,31000.0,Москва
47.0,мужской,бакалавр,Учитель,17,80727.0,Москва
42.0,мужской,бакалавр,Аналитик больших данных,2,81411.0,Новосибирск
32.0,женский,бакалавр,Диджитал-маркетолог,28,35993.0,Новосибирск
23.0,женский,магистр,Маркетолог,32,77055.0,Москва
31.0,женский,магистр,Бухгалтер,10,89367.0,Москва
46.0,женский,магистр,Диджитал-маркетолог,37,23506.0,Москва
42.0,мужской,бакалавр,Водитель,24,31000.0,Нижний Новгород
26.0,мужской,бакалавр,Инженер-программист,37,39299.0,Нижний Новгород
32.0,мужской,магистр,Инженер-программист,26,43893.0,Москва
22.0,мужской,среднее общее,Актер,36,75985.0,Санкт-Петербург
19.0,мужской,бакалавр,Строитель,34,71304.0,Москва
52.0,мужской,доктор наук,Маркетолог,10,17170.0,Москва
25.0,женский,среднее общее,,26,58375.0,Москва
36.0,женский,магистр,Аналитик больших данных,39,56786.0,Санкт-Петербург
21.0,женский,доктор наук,Инженер-программист,5,84083.0,Челябинск
43.0,женский,бакалавр,Маркетолог,19,31000.0,Новосибирск
19.0,женский,,Продуктовый менеджер,15,18951.0,Санкт-Петербург
26.0,женский,среднее профессиональное,Девопс инженер,3,90198.0,Челябинск
31.0,женский,бакалавр,Дизайнер интерфейсов,28,59461.0,Нижний Новгород
29.0,женский,среднее профессиональное,Продуктовый менеджер,12,59706.0,Казань
33.0,женский,,Учитель,36,36276.0,Казань
41.0,женский,магистр,Продуктовый менеджер,7,70870.0,Санкт-Петербург
42.0,женский,бакалавр,Финансовый аналитик,26,82743.0,Екатеринбург
47.0,мужской,бакалавр,Девопс инженер,23,91389.0,Челябинск
27.0,мужской,,Бизнес-аналитик,22,54725.0,Москва
21.0,мужской,бакалавр,,21,77556.0,Екатеринбург
41.0,мужской,,Диджитал-маркетолог,1,31000.0,Новосибирск
62.0,мужской,доктор наук,Учитель,8,58240.0,Казань
27.0,женский,магистр,Врач,7,91908.0,Москва
42.0,женский,доктор наук,Девопс инженер,10,42732.0,Москва
20.0,женский,,,21,67332.0,Нижний Новгород
48.0,женский,магистр,Учитель,36,90765.0,Новосибирск
31.0,мужской,магистр,Системный администратор,39,57089.0,Москва
49.0,мужской,бакалавр,Продуктовый менеджер,7,51218.0,Москва
38.0,женский,доктор наук,Продуктовый менеджер,39,38092.0,Казань
32.0,женский,бакалавр,Аналитик больших данных,14,68397.0,Москва
21.0,женский,бакалавр,Инженер-программист,21,35583.0,Москва
54.0,женский,,Строитель,4,42881.0,Нижний Новгород
38.0,мужской,доктор наук,Продуктовый менеджер,25,93423.0,Челябинск
40.0,женский,среднее общее,,19,38057.0,Челябинск
33.0,женский,доктор наук,Маркетолог,18,47958.0,Санкт-Петербург
37.0,мужской,доктор наук,UX-дизайнер,26,21938.0,Челябинск
36.0,мужской,бакалавр,Финансовый аналитик,21,106664.0,Казань
50.0,мужской,магистр,Инженер,21,30099.0,Нижний Новгород
20.0,мужской,бакалавр,Бухгалтер,8,49678.0,Москва
21.0,женский,бакалавр,Диджитал-маркетолог,28,21977.0,Казань
23.0,женский,,Аналитик больших данных,35,40540.0,Новосибирск
31.0,мужской,среднее профессиональное,Продуктовый менеджер,16,40412.0,Москва
26.0,женский,бакалавр,Бизнес-аналитик,27,31000.0,Москва
37.0,женский,доктор наук,Врач,28,26707.0,Омск
20.0,мужской,среднее общее,Учитель,36,106422.0,Нижний Новгород
39.0,мужской,магистр,Дизайнер интерфейсов,16,87994.0,Москва
66.0,мужской,среднее профессиональное,Девопс инженер,23,50997.0,Москва
36.0,мужской,бакалавр,Инженер,7,45469.0,Москва
40.0,мужской,бакалавр,Финансовый аналитик,7,67073.0,Новосибирск
37.0,мужской,магистр,Врач,16,83215.0,Санкт-Петербург
45.0,женский,доктор наук,Актер,5,12523.0,Нижний Новгород
35.0,мужской,доктор наук,Строитель,4,70795.0,Москва
38.0,женский,бакалавр,Диджитал-маркетолог,12,103482.0,Новосибирск
38.0,мужской,бакалавр,Диджитал-маркетолог,13,48514.0,Москва
34.0,женский,магистр,Врач,25,65137.0,Санкт-Петербург
46.0,женский,бакалавр,Врач,9,73543.0,Москва
39.0,женский,доктор наук,Актер,34,87612.0,Омск
29.0,мужской,магистр,Инженер,12,44000.0,Санкт-Петербург
43.0,женский,бакалавр,Актер,31,22247.0,Нижний Новгород
28.0,мужской,среднее профессиональное,Учитель,31,62497.0,Челябинск
22.0,мужской,бакалавр,Диджитал-маркетолог,36,49855.0,Москва
57.0,мужской,,Строитель,38,45594.0,Санкт-Петербург
19.0,женский,среднее профессиональное,UX-дизайнер,27,100036.0,Новосибирск
48.0,мужской,бакалавр,Системный администратор,14,73763.0,Санкт-Петербург
31.0,женский,,Девопс инженер,11,89504.0,Казань
65.0,женский,среднее общее,UX-дизайнер,7,68559.0,Санкт-Петербург
25.0,мужской,бакалавр,Девопс инженер,14,96651.0,Казань
23.0,женский,среднее профессиональное,Продуктовый менеджер,32,34685.0,Санкт-Петербург
41.0,женский,магистр,Водитель,35,54250.0,Санкт-Петербург
40.0,мужской,магистр,Водитель,20,30815.0,Челябинск
38.0,мужской,бакалавр,Диджитал-маркетолог,10,66302.0,Санкт-Петербург
31.0,мужской,,Дизайнер интерфейсов,31,65024.0,Омск
24.0,мужской,магистр,Диджитал-маркетолог,3,83076.0,Нижний Новгород
32.0,мужской,магистр,Бухгалтер,19,66267.0,Челябинск
22.0,женский,доктор наук,Бизнес-аналитик,2,73851.0,Нижний Новгород
44.0,мужской,бакалавр,,26,36809.0,
36.0,женский,,Актер,14,44443.0,Москва
33.0,женский,,Дизайнер интерфейсов,5,55781.0,Казань
19.0,мужской,бакалавр,Диджитал-маркетолог,19,30316.0,
47.0,мужской,доктор наук,Водитель,1,59893.0,Москва
25.0,женский,,Бухгалтер,33,105127.0,Москва
37.0,женский,среднее профессиональное,Дизайнер интерфейсов,20,37040.0,Санкт-Петербург
29.0,мужской,среднее профессиональное,Водитель,33,32213.0,Санкт-Петербург
19.0,женский,среднее профессиональное,Учитель,8,88292.0,Санкт-Петербург
33.0,женский,магистр,Аналитик больших данных,38,58307.0,Москва
42.0,женский,бакалавр,Продуктовый менеджер,13,91286.0,Санкт-Петербург
48.0,мужской,бакалавр,Системный администратор,15,85160.0,Санкт-Петербург
37.0,женский,магистр,Врач,23,70923.0,Челябинск
42.0,мужской,доктор наук,Инженер-программист,15,102255.0,Екатеринбург
54.0,женский,среднее профессиональное,Девопс инженер,37,103277.0,
55.0,женский,магистр,Маркетолог,31,82429.0,Санкт-Петербург
41.0,женский,среднее общее,Продуктовый менеджер,31,59193.0,Екатеринбург
38.0,мужской,бакалавр,Девопс инженер,38,50974.0,Омск
48.0,женский,бакалавр,Девопс инженер,14,81892.0,Новосибирск
36.0,женский,магистр,Продуктовый менеджер,32,120406.0,Санкт-Петербург
48.0,женский,бакалавр,Инженер,26,117746.0,Санкт-Петербург
47.0,мужской,магистр,,7,69664.0,Омск
43.0,женский,бакалавр,Строитель,12,61539.0,Екатеринбург
45.0,мужской,бакалавр,Финансовый аналитик,35,58290.0,Санкт-Петербург
45.0,мужской,среднее общее,Актер,10,47539.0,Новосибирск
52.0,женский,среднее профессиональное,Аналитик больших данных,24,49595.0,Новосибирск
44.0,женский,бакалавр,Строитель,21,35329.0,Санкт-Петербург
56.0,мужской,бакалавр,Инженер-программист,29,63726.0,Нижний Новгород
40.0,женский,среднее общее,Инженер-программист,6,15266.0,Москва
37.0,женский,среднее общее,Бухгалтер,31,82303.0,Санкт-Петербург
58.0,мужской,,Бухгалтер,28,31000.0,Санкт-Петербург
44.0,женский,бакалавр,Дизайнер интерфейсов,10,41838.0,Москва
29.0,женский,бакалавр,Бухгалтер,4,23607.0,Москва
27.0,женский,бакалавр,Врач,25,19051.0,Новосибирск
37.0,мужской,бакалавр,UX-дизайнер,12,87057.0,Екатеринбург
25.0,женский,бакалавр,Финансовый аналитик,6,65701.0,Нижний Новгород
35.0,мужской,бакалавр,Актер,6,70325.0,Санкт-Петербург
24.0,мужской,доктор наук,Актер,32,96336.0,Казань
46.0,женский,бакалавр,Аналитик больших данных,29,43618.0,Москва
41.0,мужской,среднее общее,Дизайнер интерфейсов,24,75393.0,Казань
33.0,мужской,среднее профессиональное,Водитель,3,57459.0,Новосибирск
39.0,мужской,бакалавр,,7,54586.0,Екатеринбург
38.0,женский,магистр,Продуктовый менеджер,17,118921.0,Челябинск
38.0,женский,доктор наук,Актер,1,55772.0,Санкт-Петербург
33.0,мужской,среднее общее,Маркетолог,20,80382.0,Москва
66.0,женский,,Системный администратор,20,31000.0,Санкт-Петербург
41.0,мужской,среднее общее,Врач,14,50775.0,Москва
26.0,женский,бакалавр,Врач,7,64376.0,Санкт-Петербург
42.0,мужской,доктор наук,Диджитал-маркетолог,37,82427.0,Челябинск
19.0,мужской,бакалавр,Инженер,1,66214.0,Москва
,женский,доктор наук,Диджитал-маркетолог,11,65404.0,Москва
37.0,мужской,бакалавр,Строитель,28,81529.0,Новосибирск
39.0,женский,бакалавр,Водитель,37,60494.0,Омск
62.0,мужской,бакалавр,Актер,39,94070.0,Казань
42.0,женский,бакалавр,Дизайнер интерфейсов,38,14552.0,Новосибирск
33.0,мужской,среднее общее,Аналитик больших данных,7,87222.0,Москва
36.0,женский,бакалавр,Инженер,15,14628.0,Москва
49.0,женский,бакалавр,Аналитик больших данных,36,81502.0,Москва
35.0,женский,среднее профессиональное,Строитель,31,83563.0,Санкт-Петербург
48.0,мужской,магистр,Аналитик больших данных,20,83454.0,Санкт-Петербург
37.0,мужской,доктор наук,Водитель,5,64916.0,Казань
32.0,женский,магистр,Водитель,33,66352.0,Новосибирск
29.0,женский,среднее общее,Продуктовый менеджер,34,100215.0,Москва
60.0,мужской,среднее общее,Строитель,4,73635.0,Москва
28.0,женский,бакалавр,Продуктовый менеджер,16,83732.0,Казань
48.0,женский,магистр,Строитель,26,60831.0,Нижний Новгород
36.0,мужской,среднее общее,Актер,37,86131.0,Москва
26.0,мужской,,Строитель,3,19620.0,Санкт-Петербург
41.0,мужской,бакалавр,Диджитал-маркетолог,5,91719.0,Екатеринбург
59.0,женский,магистр,,19,48337.0,Екатеринбург
19.0,женский,бакалавр,Финансовый аналитик,19,100757.0,Москва
22.0,мужской,бакалавр,Учитель,27,72215.0,Москва
26.0,мужской,,,36,77186.0,Нижний Новгород
56.0,женский,среднее общее,UX-дизайнер,27,79481.0,Москва
21.0,женский,доктор наук,Строитель,2,45698.0,Омск
19.0,женский,доктор наук,Системный администратор,6,101699.0,Казань
